,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
139,7CPvcY1V7QvLD5d13Tl1,1997,1,24,1997-01-24,TN,4,18,0,35.78,-86.50,35.83,-86.38,6.50,300.00
140,AVU21wrCnUQDrkVJSUR6,1996,5,28,1996-05-28,KY,4,10,0,38.15,-85.75,38.03,-85.17,30.00,850.00
141,S1peBagOtHPqjBNNLNkg,1996,4,14,1996-04-14,AR,4,35,7,35.82,-92.35,36.20,-91.72,44.00,880.00
142,wZ5XH7qntqYAQUA6iKo0,1995,11,7,1995-11-07,SC,4,1,0,34.14,-79.35,34.14,-79.34,0.70,100.00
143,v12DCwVZPVDuZSHuSoPQ,1995,6,8,1995-06-08,TX,4,0,0,35.50,-100.22,35.68,-100.10,15.00,2200.00
144,FSjFZH0S5qWGX9hb0T9R,1995,6,8,1995-06-08,TX,4,0,0,35.25,-100.60,35.55,-100.38,29.00,600.00
145,YIfUMiZWLrJia4yGX0aw,1995,6,8,1995-06-08,TX,4,7,0,35.50,-101.02,35.53,-100.97,3.00,200.00
146,LqaaXqGy3ZSJFgdpxKNQ,1995,5,29,1995-05-29,MA,4,24,3,42.20,-73.43,42.17,-73.17,11.50,300.00
147,Hd5eoJEwt0dzJ3vTe8iU,1995,5,27,1995-05-27,IA,4,1,0,41.78,-94.65,42.20,-94.48,30.00,250.00
148,KU2ASvIsTMM1XULOp613,1995,5,27,1995-05-27,IA,4,2,0,41.07,-94.42,41.77,-94.15,57.00,500.00
149,kqX4xsBDhSDAkLMZVgys,1995,5,27,1995-05-27,IA,4,0,0,42.07,-94.90,42.58,-94.83,36.00,400.00
150,8bRShN2oDQFh0aVL4zIO,1995,5,18,1995-05-18,AL,4,55,1,34.83,-87.03,34.80,-86.25,39.00,1300.00
151,AlxVSOpHDbF98tw2kgKI,1995,5,18,1995-05-18,TN,4,32,3,35.00,-87.48,35.35,-87.17,29.00,1000.00
152,2HqCl8WjwIMu3C4wdRNe,1995,5,13,1995-05-13,IL,4,7,0,40.58,-91.31,40.74,-90.44,50.00,1000.00
153,hmwQOSw6cfowo2Jr79e0,1995,5,13,1995-05-13,IL,4,45,0,40.37,-90.30,40.42,-90.12,7.00,880.00
154,jKIEANOTeHwexupqkRcm,1994,7,5,1994-07-05,WI,4,2,0,44.28,-87.82,44.32,-87.77,3.50,150.00
155,1QMuTYdPb41F7Eu4OkNB,1994,4,26,1994-04-26,IN,4,70,3,40.48,-86.95,40.58,-86.75,14.00,100.00
156,nDijmoNKUYUYmUyp9er7,1994,4,25,1994-04-25,TX,4,48,3,32.60,-96.75,32.67,-96.67,6.00,800.00
157,raTDu13VKSQJUGKehKtP,1994,3,27,1994-03-27,AL,4,150,22,33.72,-86.15,34.02,-85.42,50.00,880.00
158,QXoR0TpI3IyorpnwlxqG,1994,3,27,1994-03-27,GA,4,20,3,34.13,-85.03,34.43,-84.30,49.00,1760.00
159,Cdg545KyCZzUkD8cNILG,1993,8,6,1993-08-06,VA,4,246,4,37.20,-77.43,37.32,-77.27,1.00,250.00
160,75DwMsJXxMb6VaIzXW0G,1993,6,7,1993-06-07,SD,4,5,0,43.72,-96.92,44.50,-96.57,54.00,800.00
161,WyhNsFO1YcmJFS4TotOC,1993,6,7,1993-06-07,SD,4,4,0,43.88,-97.28,44.07,-97.20,10.00,500.00
162,Ksnaw2ZMfLGtmVRYDS6i,1993,5,7,1993-05-07,KS,4,6,1,38.90,-98.52,39.23,-98.62,25.50,880.00
163,BRokLDIC9aLZ48ssZtpN,1993,5,5,1993-05-05,KS,4,0,0,37.12,-101.27,37.45,-101.22,23.00,880.00
164,ybATm5xpsKdVfWh78Aze,1993,4,24,1993-04-24,OK,4,100,7,36.15,-95.83,36.20,-95.75,5.50,250.00
165,b5LHFF5eK9LPPAdgee5B,1992,11,22,1992-11-22,GA,4,86,5,33.18,-83.45,33.47,-83.03,32.00,867.00
166,Sw8i8j2cXwVzoH79TCxB,1992,11,22,1992-11-22,MS,4,20,0,31.85,-89.52,32.32,-89.17,40.00,1760.00
167,zaqakMSTCusVOHtfAgGs,1992,11,22,1992-11-22,KY,4,10,1,38.60,-85.07,38.92,-84.80,26.70,60.00
168,PyOMDUZ2UQ4frOXPbwqS,1992,11,22,1992-11-22,GA,4,46,0,33.92,-84.67,34.17,-84.43,20.00,867.00
169,vktCwKKndyditLB42D0W,1992,11,21,1992-11-21,TX,4,16,0,29.73,-95.28,30.08,-94.90,30.00,1800.00
170,Jk87AaVyRlehsvjdWRMg,1992,11,21,1992-11-21,MS,4,122,12,31.97,-90.23,33.48,-89.17,128.00,880.00
171,psSaW6zXPCYHNI8pSTUj,1992,6,27,1992-06-27,TX,4,7,0,35.68,-101.73,35.53,-101.48,20.00,1583.00
172,Z4xMAEjAvppz5JsHb8fh,1992,6,16,1992-06-16,MN,4,3,0,43.95,-95.90,44.05,-95.97,7.00,160.00
173,8tpyS3LPHWpRk27m2TYv,1992,6,15,1992-06-15,KS,4,10,0,38.37,-97.67,38.45,-97.53,6.00,73.00
174,olhCK88XAiUpWpAPlBfs,1992,6,15,1992-06-15,KS,4,0,0,39.42,-98.22,39.43,-98.17,3.00,100.00
175,gL7PA0UDlxt0g1qhSpoK,1992,5,11,1992-05-11,OK,4,3,0,34.75,-95.95,34.78,-95.78,10.00,400.00
176,D86tW9zbDHuqcJbRHQYB,1992,3,9,1992-03-09,MS,4,1,0,33.05,-90.88,33.18,-90.60,20.00,880.00
177,cKclEeVRKiihgK4Ipsg4,1992,2,18,1992-02-18,OH,4,6,0,40.73,-84.57,0.00,0.00,2.80,40.00
178,JdNRdq8DdD1jYOfsOUD7,1991,11,29,1991-11-29,MO,4,64,2,37.10,-93.30,37.20,-93.22,10.00,400.00
179,RCNKW5sNah2iwI7VhnQ0,1991,4,26,1991-04-26,OK,4,22,0,36.45,-95.72,36.48,-95.65,4.00,1300.00
180,k8g6t5vl1DuOj03oL0d8,1991,4,26,1991-04-26,OK,4,24,1,36.17,-96.52,36.38,-96.00,32.00,1700.00
181,wXT9lQaJcttdeIe7HSMx,1991,4,26,1991-04-26,OK,4,6,0,36.43,-97.55,36.70,-96.45,66.00,1500.00
182,sAH0oR9QiOeJhb5C9xEz,1991,4,26,1991-04-26,KS,4,0,1,37.07,-97.15,37.35,-96.80,25.00,500.00
183,TGJ7xdejjHqVBoSjPVbU,1991,3,26,1991-03-26,KS,4,5,0,37.97,-98.05,38.15,-97.95,13.00,300.00
184,PLX7pDMfdfvyMQNPDI8R,1990,6,15,1990-06-15,NE,4,1,0,40.15,-101.23,40.27,-100.53,28.00,2640.00
185,KOkwLUilEfQT4Th3gF8O,1990,6,2,1990-06-02,IN,4,51,1,38.78,-86.53,38.90,-86.38,11.00,400.00
186,5YiDQQHsM8FKGnIjsjc0,1990,6,2,1990-06-02,IN,4,37,0,39.22,-84.92,39.35,-84.33,33.00,1350.00
187,f32Pa1B4RtjbWEnpnPDT,1990,6,2,1990-06-02,IN,4,9,0,38.85,-86.28,39.00,-85.95,18.00,200.00
188,74meBzsLENNvOBqDSDaR,1990,6,2,1990-06-02,IL,4,12,1,38.25,-88.47,38.68,-86.62,106.00,300.00
189,dDZONm7JV9cj7EZDABQ3,1990,6,2,1990-06-02,IL,4,2,0,38.57,-88.47,38.72,-88.08,23.00,300.00
190,M91jqBc3cttY5APdoWDF,1990,6,2,1990-06-02,IL,4,6,0,38.95,-88.27,39.05,-88.02,12.50,200.00
